.1.3.6.1.2.1.1.1.0 ePowerSwitch 8XM
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.24734.1
.1.3.6.1.4.1.24734.13.4.1.1.4.1701 23
.1.3.6.1.4.1.24734.13.4.1.1.4.1702 36
.1.3.6.1.4.1.24734.13.4.1.1.5.1701 "20 B0 43 "
.1.3.6.1.4.1.24734.13.4.1.1.5.1702 %RH
.1.3.6.1.4.1.24734.13.5.1.1.1.1 PWA
.1.3.6.1.4.1.24734.13.5.1.1.1.2 PWB
.1.3.6.1.4.1.24734.13.5.1.1.1.3 PWX
.1.3.6.1.4.1.24734.13.5.1.1.1.101 PWA
.1.3.6.1.4.1.24734.13.5.1.1.1.102 PWB
.1.3.6.1.4.1.24734.13.5.1.1.2.1 Netzspannung Eingang A Kabel 106
.1.3.6.1.4.1.24734.13.5.1.1.2.2 Netzspannung Eingang B Kabel 108
.1.3.6.1.4.1.24734.13.5.1.1.2.3 AUX-PS-12V Kabel 105
.1.3.6.1.4.1.24734.13.5.1.1.2.101 Netzspannung Eingang A Kabel 107
.1.3.6.1.4.1.24734.13.5.1.1.2.102 Netzspannung Eingang B Kabel 109
.1.3.6.1.4.1.24734.13.5.1.1.3.1 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.2 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.3 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.101 Applied
.1.3.6.1.4.1.24734.13.5.1.1.3.102 Applied
.1.3.6.1.4.1.24734.13.6.1.1.1.1 DI1
.1.3.6.1.4.1.24734.13.6.1.1.1.2 DI2
.1.3.6.1.4.1.24734.13.6.1.1.1.3 DI3
.1.3.6.1.4.1.24734.13.6.1.1.1.4 DI4
.1.3.6.1.4.1.24734.13.6.1.1.1.5 DI5
.1.3.6.1.4.1.24734.13.6.1.1.1.6 DI6
.1.3.6.1.4.1.24734.13.6.1.1.1.7 DI7
.1.3.6.1.4.1.24734.13.6.1.1.1.8 DI8
.1.3.6.1.4.1.24734.13.6.1.1.1.9 EM
.1.3.6.1.4.1.24734.13.6.1.1.2.1 "53 63 68 72 61 6E 6B 20 31 20 56 6F 72 64 65 72 74 FC 72 "
.1.3.6.1.4.1.24734.13.6.1.1.2.2 "53 63 68 72 61 6E 6B 20 31 20 48 69 6E 74 65 72 74 FC 72 "
.1.3.6.1.4.1.24734.13.6.1.1.2.3 - nc -
.1.3.6.1.4.1.24734.13.6.1.1.2.4 - nc -
.1.3.6.1.4.1.24734.13.6.1.1.2.5 - nc -
.1.3.6.1.4.1.24734.13.6.1.1.2.6 - nc -
.1.3.6.1.4.1.24734.13.6.1.1.2.7 - nc -
.1.3.6.1.4.1.24734.13.6.1.1.2.8 - nc -
.1.3.6.1.4.1.24734.13.6.1.1.2.9 - nc -
.1.3.6.1.4.1.24734.13.6.1.1.3.1 Closed
.1.3.6.1.4.1.24734.13.6.1.1.3.2 Closed
.1.3.6.1.4.1.24734.13.6.1.1.3.3 Open
.1.3.6.1.4.1.24734.13.6.1.1.3.4 Open
.1.3.6.1.4.1.24734.13.6.1.1.3.5 Open
.1.3.6.1.4.1.24734.13.6.1.1.3.6 Open
.1.3.6.1.4.1.24734.13.6.1.1.3.7 Open
.1.3.6.1.4.1.24734.13.6.1.1.3.8 Open
.1.3.6.1.4.1.24734.13.6.1.1.3.9 Applied
.1.3.6.1.4.1.24734.13.7.1.1.1.1 O1
.1.3.6.1.4.1.24734.13.7.1.1.1.2 O2
.1.3.6.1.4.1.24734.13.7.1.1.1.3 O3
.1.3.6.1.4.1.24734.13.7.1.1.1.4 O4
.1.3.6.1.4.1.24734.13.7.1.1.1.5 O5
.1.3.6.1.4.1.24734.13.7.1.1.1.6 O6
.1.3.6.1.4.1.24734.13.7.1.1.1.7 O7
.1.3.6.1.4.1.24734.13.7.1.1.1.8 O8
.1.3.6.1.4.1.24734.13.7.1.1.1.101 O1
.1.3.6.1.4.1.24734.13.7.1.1.1.102 O2
.1.3.6.1.4.1.24734.13.7.1.1.1.103 O3
.1.3.6.1.4.1.24734.13.7.1.1.1.104 O4
.1.3.6.1.4.1.24734.13.7.1.1.1.105 O5
.1.3.6.1.4.1.24734.13.7.1.1.1.106 O6
.1.3.6.1.4.1.24734.13.7.1.1.1.107 O7
.1.3.6.1.4.1.24734.13.7.1.1.1.108 O8
.1.3.6.1.4.1.24734.13.7.1.1.2.1 SWITC-1 Kabel E110
.1.3.6.1.4.1.24734.13.7.1.1.2.2 SWITC-2 Kabel E111
.1.3.6.1.4.1.24734.13.7.1.1.2.3 2-A Kabel 112
.1.3.6.1.4.1.24734.13.7.1.1.2.4 1-A Kabel 113
.1.3.6.1.4.1.24734.13.7.1.1.2.5 KVM Switch Kabel 114
.1.3.6.1.4.1.24734.13.7.1.1.2.6 KVM Konsole Kabel 115
.1.3.6.1.4.1.24734.13.7.1.1.2.7 - nc -
.1.3.6.1.4.1.24734.13.7.1.1.2.8 - nc -
.1.3.6.1.4.1.24734.13.7.1.1.2.101 -nc-
.1.3.6.1.4.1.24734.13.7.1.1.2.102 -nc-
.1.3.6.1.4.1.24734.13.7.1.1.2.103 -nc-
.1.3.6.1.4.1.24734.13.7.1.1.2.104 -nc-
.1.3.6.1.4.1.24734.13.7.1.1.2.105 1-B Kabel E116
.1.3.6.1.4.1.24734.13.7.1.1.2.106 1-B Kabel E117
.1.3.6.1.4.1.24734.13.7.1.1.2.107 SWITCH1-B Kabel E118
.1.3.6.1.4.1.24734.13.7.1.1.2.108 SWITCH2-B Kabel E119
.1.3.6.1.4.1.24734.13.7.1.1.3.1 On
.1.3.6.1.4.1.24734.13.7.1.1.3.2 On
.1.3.6.1.4.1.24734.13.7.1.1.3.3 On
.1.3.6.1.4.1.24734.13.7.1.1.3.4 On
.1.3.6.1.4.1.24734.13.7.1.1.3.5 On
.1.3.6.1.4.1.24734.13.7.1.1.3.6 On
.1.3.6.1.4.1.24734.13.7.1.1.3.7 On
.1.3.6.1.4.1.24734.13.7.1.1.3.8 On
.1.3.6.1.4.1.24734.13.7.1.1.3.101 On
.1.3.6.1.4.1.24734.13.7.1.1.3.102 On
.1.3.6.1.4.1.24734.13.7.1.1.3.103 On
.1.3.6.1.4.1.24734.13.7.1.1.3.104 On
.1.3.6.1.4.1.24734.13.7.1.1.3.105 On
.1.3.6.1.4.1.24734.13.7.1.1.3.106 On
.1.3.6.1.4.1.24734.13.7.1.1.3.107 On
.1.3.6.1.4.1.24734.13.7.1.1.3.108 On
.1.3.6.1.4.1.24734.13.7.1.1.4.1 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.2 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.3 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.4 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.5 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.6 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.7 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.8 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.101 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.102 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.103 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.104 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.105 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.106 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.107 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.4.108 0=On 1=Off 2=Restart
.1.3.6.1.4.1.24734.13.7.1.1.5.1 1
.1.3.6.1.4.1.24734.13.7.1.1.5.2 1
.1.3.6.1.4.1.24734.13.7.1.1.5.3 1
.1.3.6.1.4.1.24734.13.7.1.1.5.4 1
.1.3.6.1.4.1.24734.13.7.1.1.5.5 1
.1.3.6.1.4.1.24734.13.7.1.1.5.6 1
.1.3.6.1.4.1.24734.13.7.1.1.5.7 1
